adult,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genres,production_companies,production_countries,spoken_languages,belongs_to_collection,characters,cast,director,screenplay,keywords
False,0,,198342,tt2042520,en,Family Band: The Cowsills Story,"The story of the Cowsills, an American band consisting of family members who rose to fame in the 1960s and served as the real-life inspiration for the “The Partridge Family” TV series.",0.06321399999999999,/rwxUEqVZjR0QGUY7mKt0lkLJkLw.jpg,2011-08-10,0.0,90.0,Released,Talent and charm. Secrets and fear.,Family Band: The Cowsills Story,False,9.0,1.0,"['Documentary', ', Family']",['Thinking Bee Productions'],['United States of America'],['en'],,['Himself / Narrator'],['Bob Cowsill'],Bill Filipiak,,['music']
False,0,,117904,tt0143296,en,I've Been Waiting for You,"When a California teen with an interest in the occult moves to a New England town, she finds that the town teens believe she is a witch sent to seek revenge on the descendants of the people who originally killed another witch a hundred years earlier. Things take a particularly deadly turn when they convince her to play a seer at a Halloween party where they will feed her information over an earphone about those who enter her tent, only she suddenly sees things beyond their knowledge or help.",1.274883,/eRrJ9PCPDCyPfpaY8WPI2vuWSbz.jpg,1998-03-22,0.0,90.0,Released,,I've Been Waiting for You,False,4.9,7.0,"['Thriller', ', Horror']","['NBC Studios', ', WildRice Productions', ', Bonnie Raskin Productions']",['United States of America'],['en'],,"['Sarah Zoltanne', ', Kyra Thompson', ', Charlie', ', Eric Garrett', ', Debbie Murdock']","['Sarah Chalke', ', Soleil Moon Frye', ', Ben Foster', ', Christian Campbell', ', Maggie Lawson']",Christopher Leitch,,"['witch', ', revenge', ', teen angst']"
False,0,,395278,tt5709506,en,Wizard Mode,"Mastering classic pinball arcade games requires focus, agility and dedication. Robert Gagno has all these traits. It might explain why he surged from a complete unknown to one of the world's best players in five years. The achievement is even more impressive considering he was diagnosed with autism at age three. His success on the pinball circuit made him part of a community that provided acceptance and encouragement. With his parents' support and determination, Robert has exceeded every expectation placed upon him. As he approaches adulthood, his next challenge is to become more self-sufficient and gain his independence. From high-stakes tournaments across the continent to his day-to-day search for employment, we follow Robert's persistent progression to overcome obstacles and manage the highs of success and lows of falling short. In Wizard Mode, flashing lights and triple combos highlight an outstanding individual who continues to beat the odds and set records.",0.21411999999999998,/vkXENvFYc3BK43jRC8oOkuvQ3mU.jpg,2016-05-02,0.0,82.0,Released,,Wizard Mode,False,7.0,5.0,['Documentary'],['Salazar Film'],['Canada'],['en'],,"['Robert Gagno', ', Maurizio Gagno', ', Kathy Gagno']","['Robert Gagno', ', Maurizio Gagno', ', Kathy Gagno']",Nathan Drillot,,"['autism', ', biography', ', pinball']"
False,0,,195653,tt0310118,en,Scene from the Elevator Ascending Eiffel Tower,"“A marvelously clear picture taken from the top of the elevator of the Eiffel Tower during going up and coming down of the car. This wonderful tower is 1,000 feet in height, and the picture produces a most sensational effect. As the camera leaves the ground and rises to the top of the tower, the enormous white city opens out to the view of the astonished spectator. Arriving at the top of the tower, a bird's eye view of the Exposition looking toward the Trocadero, and also toward the Palace of Electricity, is made, and the camera begins its descent. The entire trip is shown on a 200-foot film. 30.00. We furnish the ascent in 125 foot film.” (Edison film catalog)",0.071815,/dxtWiUBLhGFwwMkQeE3tM3bnyHR.jpg,1900-08-21,0.0,2.0,Released,,Scene from the Elevator Ascending Eiffel Tower,False,6.5,2.0,['Documentary'],['Edison Manufacturing Company'],['United States of America'],['xx'],,['null'],['null'],James H. White,,"['paris', ', silent film', ', eiffel tower paris']"
False,0,,17885,tt0029864,en,The Amazing Dr. Clitterhouse,A wealthy society doctor decides to research the medical aspects of criminal behaviour by becoming one himself. He joins a gang of thieves and proceeds to wrest leadership of the gang away from it's extremely resentful leader.,1.25249,/kj1Wepf7hoPMW1OLtCTVu8LcP51.jpg,1938-07-30,0.0,87.0,Released,... a thunderbolt of thrills and intrigue!,The Amazing Dr. Clitterhouse,False,7.4,7.0,"['Drama', ', Action', ', Comedy', ', Crime']",['First National Pictures'],['United States of America'],['en'],,"['Dr. T.S. Clitterhouse', ', Jo Keller', "", 'Rocks' Valentine"", ', Okay', ', Police Inspector Lewis Lane']","['Edward G. Robinson', ', Claire Trevor', ', Humphrey Bogart', ', Allen Jenkins', ', Donald Crisp']",Anatole Litvak,John Huston,"['robbery', ', paranoia', ', psychology', ', research', ', society', ', jewelry', ', sociopath', ', dark comedy', ', doctor', ', gangster', ', criminal', ', criminal mind', ', park avenue']"
False,0,,46513,tt0913262,en,The Shadow in the North,"When an elderly client loses a fortune on an investment, fearless Sally Lockhart will stop at nothing to rectify the situation — even if it means risking everything important to her in the process. As Sally sorts out the threads of the mystery — a magician being pursued by thugs, a clairvoyant who sees a brutal murder in the woods and a rich, heartless industrialist on a mad mission — nothing fits together. But as Sally closes in on the truth, it becomes devastatingly clear that her life will be forever altered.",0.7438130000000001,/xSBiFF8joGtBnA0nN0FXT9FhT1J.jpg,2007-09-15,0.0,94.0,Released,,The Shadow in the North,False,4.5,4.0,"['Adventure', ', Crime', ', Drama', ', Mystery', ', Thriller']","['British Broadcasting Corporation (BBC)', ', WGBH', ', Nova']",['United Kingdom'],"['en', ', es']",The Sally Lochhart Mysteries Collection,"['Sally Lockhart', ', Fred Garland', ', Alistair MacKinnon', ', Webster Garland', ', Isabel Meredith']","['Billie Piper', ', J. J. Feild', ', Julian Rhind-Tutt', ', John Standing', ', Lyndsey Marshal']",John Alexander,Adrian Hodges,"['based on novel', ', victorian england', ', tv movie', ', detective agency', ', amateur sleuth']"
False,0,,163890,tt0826039,en,Blokada,"The images comprise only of material Sergei Loznitsa found in the Moscow film archives about the siege of Leningrad during the World War II. By providing the originally silent images with a meticulously reconstructed soundtrack, the scenes from everyday life under siege seem to be set in the present. By not intervening in the montage but giving the scenes room to tell a story, the scenes transcend the specific historic events and lead a new life. They do not evoke memories of the past, but become a breathtaking reanimation of reality.",0.480285,/bXBRVGVTXxNQ6YjUZ8stYjzpifz.jpg,2005-11-07,0.0,52.0,Released,,Blockade,False,7.0,5.0,"['Documentary', ', History']",['null'],['null'],['ru'],,['null'],['null'],Sergey Loznitsa,,['null']
False,0,http://superheropartyclown.com,200051,tt1663675,en,Super Hero Party Clown,"Eugene Stimpson is a superhero... At least he plays one at birthday parties. When his high school nemesis Todd gets a job playing a rival superhero, Eugene must struggle to keep his identity secret while competing with Todd for the affections of the same girl. Can he keep his identity concealed long enough to make his move and defeat Todd, or will the mounting lies be too much for him to handle?",0.013359,/9KFXZyrRVV1Vu4d9GczW4i4ow2H.jpg,2012-09-25,0.0,84.0,Released,,Super Hero Party Clown,False,0.0,0.0,['Comedy'],"['Cinema Libre Studio', ', Spartan Film Studios', ', Two Bros. Productions']",['United States of America'],['en'],,"['Eugene Stimpson', ', Garth Gator', ', Emily Talbot', ', Todd Walker', ', Marcy Gates']","['Randy J. Blair', ', Zach Sutherland', ', Shelby Barnes', ', Adam Sessa', ', Cynthia Abrams']",Jeremy M. Inman,,"['party', ', superhero', ', coming of age', ', superhero spoof']"
False,0,http://wwws.warnerbros.de/maennerherzen/,28938,tt1255955,de,Männerherzen,The comedy about men and their struggles in life and love.,2.909318,/pB0d9tIP2hF5RWGcq93pWSr62u6.jpg,2009-09-09,0.0,107.0,Released,,Men in the City,False,5.7,51.0,['Comedy'],['Wiedemann & Berg Filmproduktion'],['Germany'],['de'],Men in the City Collection,"['Jerome Ades', ', Günther Stobanski', ', Roland Feldberg', ', Niklas Michalke', ', Phillipp Henrion']","['Til Schweiger', ', Christian Ulmen', ', Wotan Wilke Möhring', ', Florian David Fitz', ', Maxim Mehmet']",Simon Verhoeven,Simon Verhoeven,['null']
False,0,,51167,tt0272440,en,According to Spencer,"According to Spencer, She's the one... Everyone else thinks so too!",0.514363,/jiY1F7XeKkeABxXOGNrVBO5Ebnz.jpg,2001-08-15,0.0,94.0,Released,,According to Spencer,False,4.0,2.0,"['Comedy', ', Romance']",['null'],['null'],['null'],,"['Spencer', ', Melora', ', Ezra', ', Feldy']","['Jesse Bradford', ', Mia Kirshner', ', David Krumholtz', ', Adam Goldberg']",Shane Edelman,,['independent film']
False,88,,8930,tt0881310,fr,La vie moderne,,0.400281,/eNk3gxTpkuDfWkFyajD7lgrN75E.jpg,2008-10-27,0.0,88.0,Released,,Modern Life,False,9.3,4.0,['Documentary'],"['Arte France', ', Palmeraie et Désert', ', France 2 Cinéma']","['Switzerland', ', France']",['fr'],,"['Lui-même - 63 ans, un fermier solitaire', ', Lui-même - 80 ans, un fermier', ', Elle-même - sa femme, 70 ans', ', Lui-même (archive footage)']","['Paul Argaud', ', Marcel Challaye', ', Germaine Challaye', ', Jacques Chirac']",Raymond Depardon,,"['cattle', ', farm crisis', ', passage of time']"
False,0,,8651,tt0404532,de,Unterwegs,A slightly sinister but charming young man falls in with a young mother and daughter and her boyfriend on a camping holiday and leads them astray.,0.20014500000000002,/z7fxwcAeQ89FYAjJkaNecRiggWo.jpg,2004-02-10,0.0,89.0,Released,,En Route,False,8.5,2.0,"['Romance', ', Drama']",['Salzgeber & Co. Medien GmbH'],['Germany'],['de'],,"['Benni', ', Marco', ', Jule']","['Florian Panzner', ', Martin Kiefer', ', Lena Beyerling']",Jan Krüger,,"['brandenburg', ', summer', ', summer vacation', ', poland', ', road movie', ', baltic sea']"
False,0,,17761,tt0047086,en,The High and the Mighty,Dan Roman is a veteran pilot haunted by a tragic past. Now relegated to second-in-command cockpit assignments he finds himself on a routine Honolulu-to-San Francisco flight - one that takes a terrifying suspense-building turn when disaster strikes high above the Pacific Ocean at the point of no return.,2.955607,/mNxVcxH2IqQoMJtk47YjkaiS1Jb.jpg,1954-07-03,0.0,147.0,Released,The 2-Year Best-Seller Sensation! The Year's Greatest Cast!,The High and the Mighty,False,5.5,17.0,"['Action', ', Adventure', ', Drama', ', Thriller']","['Wayne-Fellows Productions', ', Warner Bros.']",['United States of America'],['en'],,"['Dan Roman', ', May Holst', ', Lydia Rice', ', John Sullivan', ', Sally McKee']","['John Wayne', ', Claire Trevor', ', Laraine Day', ', Robert Stack', ', Jan Sterling']",William A. Wellman,Ernest K. Gann,"['mutiny', ', airplane', ', navigator']"
False,0,,18503,tt0366287,it,Caterina va in città,"When her father, Giancarlo is transferred to Rome from the small country town of Montalto Di Castro, Caterina, a 12 years old girl, will discover her new classmates, a totally new world, an ambient extremely divided politically.",3.162693,/5y6iVf3RRp6avVZESQfI836YApo.jpg,2003-10-24,0.0,105.0,Released,,Caterina in the Big City,False,6.5,55.0,"['Comedy', ', Drama']",['Pretty Pictures'],['Italy'],['it'],,"['Caterina Iacovoni', ', Giancarlo Iacovoni', ', Agata Iacovoni', ', Daniela Germano', ', Margherita Rossi Chaillet']","['Alice Teghil', ', Sergio Castellitto', ', Margherita Buy', ', Federica Sbrenna', ', Carolina Iaquaniello']",Paolo Virzì,,"['italy', ', rome', ', obsession', ', elementary school', ', chorus', ', social life', ', first kiss']"
False,0,,85883,tt0279083,en,La Femme qui boit,,0.187194,/wuA6yda0imBsyDCjRcNeNv3E4lb.jpg,2001-03-09,0.0,91.0,Released,,The Woman Who Drinks,False,8.0,1.0,"['Drama', ', Romance']",['SODEC'],['Canada'],['fr'],,"['Paulette', ', Frank', ', Joe Belley', ', Young Paulette', ', René']","['Élise Guilbault', ', Luc Picard', ', Michel Forget', ', Fanny Mallette', ', Laurent Lacoursière']",Bernard Émond,,"['addiction', ', drink', ', stripping', ', flashback', ', drunkenness']"
False,0,,41936,tt0098596,fr,La vie et rien d'autre,"January, 1920. 350,000 French soldiers remain missing in action. Major Dellaplane tirelessly matches the dead and the wounded with families' descriptions. Honor and ethics drive him; he hates the idea of ""the unknown soldier."" Into his sector, looking for her husband, comes a haughty, politically connected Parisian, Madame Irène de Courtil. Brusquely, Dellaplane offers her 1/350,000th of his time, but as their paths cross and she sees his courage and resolve, feelings change. After he finds a surprising connection between her missing husband and a local teacher, Irène makes Dellaplane an offer. This man of action hesitates: has he missed his only chance?",0.006668,/qoKzFkzOfWw5dOYfLlGIi4sxb5K.jpg,1989-09-06,0.0,135.0,Released,,Life and Nothing But,False,6.4,7.0,"['War', ', Drama']","['Hachette Première', ', Films A2', ', Little Bear', ', Centre National de la Cinématographie (CNC)', ', Sofinergie 1', ', AB Films', ', Investimage']",['France'],['fr'],,"['Commandant Delaplane', ', Irène de Courtil', ', Alice', ', Mercadot', ', Perrin']","['Philippe Noiret', ', Sabine Azéma', ', Pascale Vignal', ', Maurice Barrier', ', François Perrot']",Bertrand Tavernier,Bertrand Tavernier,['anti war']
False,0,,102732,tt0119548,en,Little City,"Best friends Adam and Kevin have a lot in common. Probably too much! In fact, Kevin is carrying on a torrid affair with Adam's girlfriend, Nina, on the side! And if this triangle wasn't crowded enough, the arrival of a seductive newcomer in town, Rebecca, promptly adds a whole new set of twists to an already tangled mix! Here's a hilarious look at how modern relationships have never been so complicated ... or so much fun!",0.036814,/fIynQQgyxWCs0kNJ7YHKTRNwaZI.jpg,1997-04-04,0.0,90.0,Released,When your one and only... isn't the only one!,Little City,False,6.0,1.0,"['Comedy', ', Romance']",['Bandeira Entertainment'],['null'],['null'],,"['Kevin', ', Rebecca', ', Nina', ', Landlord', ', Adam']","['Jon Bon Jovi', ', Penelope Ann Miller', ', Annabella Sciorra', ', Joe Bellan', ', Josh Charles']",Roberto Benabib,,['null']
False,0,,429876,tt0435610,en,Brushfires,"When a shy girl, secretly in love with her rocker-grrl housemate, meets an unbalanced heiress on the run, anything could (and does) happen in BRUSHFIRES, the latest production from Chicago-based film group Split Pillow. As the three women negotiate the dangerous relationships among them, the seven women directors weave a sensual tale of suspense. Drawing inspiration from the poem by Jessica Wilbur and the surrealist parlour game, The Exquisite Corpse, each director selected a word or phrase on which to base her segment, and the seven chapters of the film bear their individual marks. This impressive experiment in filmmaking emerges as a sensitive tale of young desire, loss, and love's confusion.",0.037655,/a1ZHjRV75he294i7ZUtX9aSGsZ.jpg,2004-10-16,0.0,115.0,Released,,Brushfires,False,5.0,1.0,['Drama'],['null'],['null'],['null'],,"['Girl', ', Melissa', ', Lenny', ', Sam', ', Dakota']","['Autumn Brooke Wilkins', ', Candace Thompson', ', F. David Roth', ', Adam Meredith', ', Sara Laudonia']",Wendy Jo Carlton,,['woman director']
False,185000000,http://kongskullislandmovie.com/,293167,tt3731562,en,Kong: Skull Island,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",29.429112,/r2517Vz9EhDhj88qwbDVj8DCRZN.jpg,2017-03-08,566652812.0,118.0,Released,All hail the king,Kong: Skull Island,False,6.2,3161.0,"['Action', ', Adventure', ', Fantasy']","['Legendary Pictures', ', Warner Bros.']",['United States of America'],['en'],,"['Captain James Conrad', ', Lieutenant Colonel Packard', ', Mason Weaver', ', Bill Randa', ', Hank Marlow']","['Tom Hiddleston', ', Samuel L. Jackson', ', Brie Larson', ', John Goodman', ', John C. Reilly']",Jordan Vogt-Roberts,Dan Gilroy,"['vietnam veteran', ', 1970s', ', monster', ', expedition', ', island', ', king kong', ', u.s. soldier', ', kaiju', ', aftercreditsstinger', ', monster island', ', uncharted']"
False,66000,,20174,tt0046969,en,The Fast and the Furious,"A man wrongly imprisoned for murder breaks out of jail. He wants to clear his name, but with the police pursuing him, he's forced to take a beautiful young woman, driving a fast sports car, hostage and slip into a cross-border sports car race to try to make it to Mexico before the police get him.",1.1146969999999998,/twWJWolTI0UN1DxsmK6pnf14E5D.jpg,1955-02-15,250000.0,73.0,Released,High speed Excitement...As a Wanted Man...Meets a Wanting Woman,The Fast and the Furious,False,3.8,6.0,"['Action', ', Crime', ', Drama']","['Palo Alto Productions', ', American Releasing Corporation (ARC) (II)']",['United States of America'],['en'],,"['Frank Webster', ', Connie Adair', ', Faber', ', Wilma Belding, Waitress', ', Mr. Hillman, Race Marshal']","['John Ireland', ', Dorothy Malone', ', Bruce Carlisle', ', Iris Adrian', ', Marshall Bradford']",John Ireland,,"['nurse', ', hostage', ', racing', ', road movie', ', handgun']"
False,0,,456101,tt3898776,en,Aaron's Blood,Single father Aaron fights to save his 12-year-old hemophiliac son after becoming infected with vampire blood.,0.41012200000000004,/mW7487fEuraBIZ1s2tNFqygqiam.jpg,2017-06-02,0.0,80.0,Released,,Aaron's Blood,False,4.8,6.0,"['Drama', ', Horror', ', Mystery', ', Thriller']","['Pasidg Productions Inc.', ', Gravitas Ventures']",['United States of America'],['en'],,"['Aaron', ', Tate', ', Earl', ', Karen', ', Father Kane']","['James Martinez', ', Trevor Sterling Stovall', ', Michael Chieffo', ', Farah White', ', David Castellvi']",Tommy Stovall,,"['vampire', ', fatherhood']"
False,0,http://www.lesdeuxmondes-lefilm.com/,14791,tt0808230,en,Les Deux mondes,A French tradesman travels in time and liberates an oppressed tribe in another world.,1.677289,/pNWkzC39nZHxJzIhCBNyUBkIa1z.jpg,2007-11-21,0.0,105.0,Released,,Two Worlds,False,4.7,32.0,"['Comedy', ', Fantasy']","['K2 SA', ', Film Afrika Worldwide', ', Gaumont International', ', uFilm']",['France'],['fr'],,"['Omi', ', Rémy Bassano', ', Lucile', ', Mutr Van Kimé', ', The librarian']","['Florence Loiret Caille', ', Benoît Poelvoorde', ', Natacha Lindinger', ', Michel Duchaussoy', ', Catherine Mouchet']",Daniel Cohen,Daniel Cohen,['null']
False,0,,10462,tt0109644,en,Don't Drink the Water,"Somewhere behind the early 1960s cold-war iron curtain, the Hollander family cause an international spying incident when Walter photographs a sunset in a sensitive region. In order to stay out of jail, the Hollanders take refuge in the American Embassy, which is temporarily being run by the absent Ambassador's diplomatically incompetent son, Axel.",1.618751,/wZA38GVWpsKOBtemv234CipY6jO.jpg,1994-12-18,0.0,92.0,Released,,Don't Drink the Water,False,4.9,16.0,['Comedy'],['null'],['United States of America'],['en'],,"['Ambassador Magee', ', Axel Magee', ', Walter Hollander', ', Marion Hollander', ', Chef Oscar']","['Josef Sommer', ', Michael J. Fox', ', Woody Allen', ', Julie Kavner', ', Austin Pendleton']",Woody Allen,Woody Allen,"['iron curtain', ', tourist']"
False,0,,34637,tt0095709,en,The Navigator: A Medieval Odyssey,In the 14th century a village seeking escape from the Black Death are guided by a boy's vision to tunnel into an abandoned mine and emerge into 20th century New Zealand.,1.478701,/fdk0zSOsRE854vGF1ZFNestcESX.jpg,1988-09-16,0.0,90.0,Released,,The Navigator: A Medieval Odyssey,False,6.3,20.0,"['Adventure', ', Action', ', Drama', ', Fantasy', ', Mystery']","['New Zealand Film Commission', ', The Australian Film Commission', ', Arenafilm', ', John Maynard Productions']","['Australia', ', New Zealand']",['en'],,"['Connor', ', Arno', ', Griffin', ', Searle', ', Ulf']","['Bruce Lyons', ', Chris Haywood', ', Hamish McFarlane', ', Marshall Napier', ', Noel Appleby']",Vincent Ward,,['suspense']
